Year,Brand,Model Tier,OS,Network Type,Dual Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,StorageGB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,PriceClass
2016,Samsung,Midrange,Android,4G,Yes,No,3040,5.46,4,64,48,253,2.0,2.25,1
2016,Vivo,Budget,Android,4G,No,No,2816,4.89,3,64,24,210,1.93,1.93,0
2017,OnePlus,Midrange, Android ,3G,No , NO,3067,5.54,8,128,24,242,2.79,3.35,1
2021,Sony,Midrange,Androi , 4G*, No,No,4009,6.13,6,256,48,251,2.43,5.24,2
2018, OnePlus,Midrange!,Android,4G,Yes,No,3187,5.88,8,64,32,250,2.36,3.78,1
2023,Huawei,Budget $,HarmonyOS,4G,No ,No,NA,5.37,6,64,48,248,2.64,4.94,1
2019,apple,Flagship,ios,4G,No,No,3706,6.56,8,256,48,248,2.7,5.97,2
2020,OnePlus,Budget,Android,4G,No, NO,2780,5.25,6,64,48,235,2.26,3.0,2
2022,Oppo,Flagship,Andoid,5G,Yes,Yes,3861,6.53,8,256,64,236,2.38,6.18,3
2018,Samsung, BUDGET!,Android,NA,NO,No,2261,5.53,4,32,32,NA,1.89,3.15,0
2016,Vivo,Budge ,Android,4G ,Yes,NO ,2119,4.82,3,128,24,227,1.86,2.58,0
2015, Sony,Midrange,Android, 3G,NA,no #,2870,5.16,4,64,24,221,2.04,3.06,0
2021,Apple,Midrange,iOS,4G,No,No,3961,5.51,12,128,32,244,2.12,4.73,2
2021,Motorola,FLAGSHIP*,ANDROID,5G,Yes,Yes,3788,6.35,12,256,64,260,2.83,6.03,3
2018,Apple,Budget,iOS,4G,No,No,2926,5.06,4,32,32,229,1.59,3.28,0
2018,Xiaomi,Midrange, Android,4G, Yes !,No,3359,5.42,6,128,16,235,2.1,4.02,0
2016,Oppo,Budget,Android,3G,No,No,2650,5.09,3,NA,16,235,1.55,2.38,0
2018,OnePlus,Budget,Android, 4G,Yes,No,2713,5.54,3,64,24,228,1.43,2.57,0
2020,Nokia, MDRANGE,Android,4g ,Yes !,No,3356,6.47,8,128,32,260,1.97,4.38,2
2019,Huawei,BUDGET,Android,4G,NO,No,3081,5.5,4,128,32,246,2.56,3.29,1
2023,OnePlus $,Budget,Android,4G, Yes,No,3487,5.88,6,128,48,232,2.34,4.18,1
2021,Nokia,Budget,android,4G, Yes, No *,3856,6.18,6,128,24,260,2.15,3.78,1
2018,Oppo,Midrange,ANDROID,4G,Yes, no*,2025,5.35,6,256,16,244,2.42,3.08,1
2018,Samsung,Budget, android!,4G,Yes,No,2406,5.6,4,64,24,238,1.59,2.92,0
2024,Samsung,MIDRANGE,Android,4g, Yes,No,4032,6.26,12,256,48,253,2.8,6.75,3
2015,NOKIA, flagship ,Android, 4g#,Yes,No,3393,5.45,8,128,48,260,2.49,3.86,3
2015,Google,flagship ,Android,4g,Yes,No,3213,5.33,4,128,16,227,2.42,3.78,2
2021,Google, Midrange,ANDROID,4G,yes ,No,3151,6.35,8,128,64,253,2.93,5.57,2
2019,Samsung,Budget,Android,4G,yes, No $,3490,5.26,6,128,32,226,2.13,3.29,1
2022, Smsung ,Midrange,Android, 4g,Yes ,NO!,3781,6.33,8,256,48,260,2.46,4.76,2
2015,Samsung,Budget,Android,3G,Yes,No,2465,4.71,2,32,8,220,1.53,2.06,0
2015,Huawei,Flagship,Android, 4G ,Yes,No,3012,5.43,8,256,32,217,1.61,3.59,2
2016,vivo ,Midrange,ndroid,4G,Yes,No,2989,5.53,6,128,48,250,2.45,2.93,1
2020,Xiaomi,Budget,Android,4G,Yes,no,3219,5.39,6,64,24,234,2.29,3.15,1
2020,oppo,Midrange, andoid ,4G,Yes,No,3228,5.81,8,128,24,260,2.21,5.43,2
2018,Google,MIDRANGE,android,4G, yes !,No,3516,6.16,6,256,48,260,2.17,3.85,1
2015, OnePlus , midrange ,Android,4G,Yes,No,NA,5.16,6,128,24,221,1.98,3.08,2
2017,Apple,Midrange,iOS,3G,No,No,3113,5.32,4,128,48,237,1.78,NA,2
2021,Xiaomi,Flagship, Android ,4G,Yes,No,4091,6.18,8,256,48,255,3.13,5.83,3
2020,OPPO,Budget,Android,NA,No,No,3318,5.69,6,128,32,224,1.88,3.66,2
2016,OnePlus,Flagship,Android,4G,No,No,3828,5.73,6,256,32,237,2.12,NA,3
2016,Samsung,Midrange,Android,4G,Yes,No,3066,4.82,4,128,16,239,1.98,2.94,0
2021,Huawei,Budget,HarmonyOS, 4G,NO,No,3077,5.76,6,128,24,251,2.02,4.14,2
2019,Apple,Midrange,iOS,4G,No,No,3960,5.83,4,128,64,244,2.2,4.41,2
2017,PPLE,Budget,iOS,3G,No,no,2949,5.25,3,128,8,236,1.61,3.0,0
2016,Oppo,Flagship,Android,4G,Yes,No,2920,5.5,6,256,32,258,2.8,3.75,2
2024,Huawi,Midrange,Android,4G,Yes, No*,3958,6.19,12,256,48,260,2.83,5.46,3
2015,Xiaomi,Budget,Android ,3G,no,No,2914,4.73,2,128,32,197,1.45,2.35,0
2019,Xiaomi,Midrange,Android,4G ,No, NO ,3025,4.85,8,128,48,260,1.69,NA,1
2021,vivo*,Budget,Android,4g,Yes,No,2880,5.1,6,128,32,239,2.58,4.51,1
2021,Google,Budget, Android!,5G,No,Yes,2850,5.52,6,128,48,243,2.33,4.18,2
2015,Samsung,Flagship,Android,4G,No,No,2838,5.86,6,256,16,260,2.7,3.59,1
2023,Apple,Midrange,iOS,4G,NO$,No,3996,6.61,8,128,64,252,2.41,5.7,2
2018,VIVO !,Midrange,Andrid,4G,NO,No,3849,5.46,8,128,32,249,2.5,4.1,1
2023,Apple,Flagship,iOS,5G,No*,Yes,3831,6.8,12,256,64,260,2.42,6.14,3
2020,Samsung,Midrange,Android, 4G,No,No,3270,5.8,6,128,24,260,2.6,5.0,1
2015,Xiaoi,Budget,Android,4g, Yes,No,1924,5.16,3,32,12,234,1.2,1.72,0
2019,oneplus ,Flagship,Android,4G,es #,No,3654,6.53,8,256,48,260,2.81,4.44,3
2017,Apple,NA,iOS,4G,No,No,2125,5.31,3,128,8,230,1.96,2.73,0
2020,Samsung,Flagship,Android, 4G, Yes,No,3721,6.21,8,256,48,260,2.77,5.75,3
2020,XIAOMI,Midrange,android,4G, yes,No,2626,5.67,8,256,32,224,2.44,4.49,2
2023,Vivo,Midrange,Android,5G,Yes,YES $,3932,5.96,12,256,NA,220,2.41,3.91,3
2024,Oppo,Flagship ,NA,5G,No,Yes,4031,6.86,12,256,64,254,2.82,7.53,3
2020,OnePlus,Budget,Android, 5G,Yes,yes,2483,5.34,6,64,8,237,1.83,4.07,1
2020,Motorola,Flagship,Android,4g,Yes, NO #,3618,6.37,8,256,64,260,3.15,5.62,3
2017,Nokia,Budget, Android,4G,Yes,No,3481,4.82,4,64,32,NA,1.43,3.05,1
2016, nePlus ,Budget, Android!,4G,YES,No,2882,4.91,2,32,8,233,1.78,1.82,0
2024,Xiaomi,Budget,Android,4G$,Yes, NO ,3724,6.28,8,128,48,249,2.59,4.34,NA
2018,Apple,Midrange, iOS , 4G,No, NO ,3648,5.63,8,128,12,228,1.82,4.34,1
2015,Apple,Midrange, iOS,4G,No,No,2870,5.0,3,128,12,244,1.6,2.56,1
2022,OnePlus,Budget,Android,4G,Yes,No,3101,5.56,8,256,48,240,1.98,3.69,2
2024,Apple,Budget,iOS,4G,No,No,3885,5.92,6,128,48,241,2.55,4.56,3
2022,OnePlus,budget,Android,4G,yes,No,3338,5.81,6,64,32,227,2.39,3.62,2
2016,OnePlus,Flagship, ANDROID,3G,Yes,No,3615,5.68,6,128,32,260,NA,3.59,2
2023,NA, Midrange,Android,5G,Yes,YES ,3304,6.67,12,256,48,260,2.22,4.87,3
2015,Samsung,Flagship, ANDROID,3G,Yes,No,3167,5.66,6,128,48,260,2.15,3.18,2
2023,Apple,Midrange,iOS,5G, No*,Yes,3859,6.58,12,256,32,241,2.82,5.98,3
2023,Xiaomi,Midrange,android *,5G, no ,yes ,3536,6.55,8,128,48,241,2.47,5.46,3
2021,Apple,Budget *,iOS,4G,No,No,3446,5.64,6,128,24,239,2.11,3.32,2
2019,Motorola,Budget,Android,4G,no ,No,3102,NA,4,128,32,226,2.0,3.29,1
2016, MOTOROLA,Midrange,Android, 4G ,Yes,no,3594,5.16,6,64,16,246,2.22,3.54,2
2024,NA,budget,Android#,4g,No,No,3561,6.21,8,256,48,251,2.49,4.25,3
2019,Apple*,Midrange,IOS ,4G,No, NO,3217,6.16,4,256,32,260,2.47,3.62,1
2018,Vivo,Budget,Android,4G ,Yes,No,3421,4.78,4,64,16,215,1.62,3.56,0
2024,Xiaomi,Budget, adroid,4G,NA,No,3145,5.52,8,256,48,229,2.3,4.45,3
2018,Samsung,Midrange,ANDROID ,4G,YES ,No,3628,5.61,6,64,64,248,1.93,4.99,1
2015,Xiaomi!,Budget,Android,4G, yes,No,2395,4.74,3,32,16,239,1.51,2.73,0
2017,Xiaomi,Flagship,Android,4G,No,No,3502,5.78,8,256,64,256,2.37,5.15,2
2015,Nokia,Midrange,Android,3G,Yes,No,2255,4.79,4,128,12,232,2.05,NA,0
2021,Apple,Budget,iOS,5G,No,Yes,3656,6.18,4,128,48,255,2.43,3.65,1
2021,Samsung,Budget,Android,4G,No,No,3807,5.59,6,32,32,228,1.54,3.66,1
2020,APPLE,Budget,iOS,4g,No, NO#,2779,4.84,3,32,32,259,1.73,3.7,0
2018,Samsung,Budget ,Android #,4G,NO,No,3154,5.03,2,32,24,240,1.84,3.07,0
2018,Xiaomi,Budget,Android,4G,Yes, no $,2641,5.29,4,64,12,241,1.72,2.92,0
2016,Google,Midrange,Android,3G,Yes,No,3037,5.4,6,64,8,242,2.09,3.26,1
2016,Motorola,Budget,Android,4G,No,No*,2486,4.97,4,32,16,200,1.82,2.91,0
2015,Huawei,Budget,androi$,3G,Yes,No,2061,4.65,2,64,8,211,1.69,1.94,0
2016,Apple,Budget,iOS,4G,No,No,2614,5.18,2,128,12,232,1.3,2.7,0
2022,Sony,Budget,Android, 4G ,no$,no ,3112,5.88,6,64,48,250,1.71,3.47,1
2016,Apple,Budget,IOS,3G,No,No,2411,4.69,2,64,16,260,1.69,2.35,0
2015,Samsung,Midrange,Android,3G,No,NA,2572,5.04,6,64,16,229,1.81,2.59,1
2016,Samsung,Budget,Android,3G,YES,No,2753,5.02,4,64,32,196,2.13,3.02,0
2021,Google, Midrange, Android,4G,YES!, no ,3491,6.32,8,256,64,243,2.48,5.01,3
2019,Samsung,FLAGSHIP,ndroid , 4G ,no*,No,3777,6.28,8,256,NA,260,2.89,5.7,3
2023,Sony, midrange,Android,4G,Yes,No ,4414,6.25,8,256,48,237,3.32,6.31,3
2020,Apple!,Midrange,IOS , 4G,No,No,3627,5.71,8,128,48,260,2.3,4.99,2
2017,OnePlus,Midrange, Android,4G,No,No,2804,5.33,4,128,16,257,2.25,2.82,0
2018,Google,Midrange, Android,4G,yes ,No,3788,5.45,6,256,24,232,2.42,4.32,2
2020,Nokia,Mdrange,android,4G,NO,No,2998,6.27,8,256,32,241,2.1,4.53,3
2017,Xiaomi,Midrange,Android,4G,Yes,No,3193,6.05,6,256,48,254,1.91,3.03,1
2022,Samsung,Flagship,Android,5G,No, yes,4606,6.41,12,256,64,234,3.1,5.85,3
2023,Samsung,Budget,Android,4G ,Yes,No*,3361,6.36,6,256,48,255,2.15,4.33,2
2019, vivo !,Flagshp$,Android, 4G $,Yes,No,3318,6.07,8,256,48,221,2.89,4.87,2
2018,OnePlus,Midrange,android,4G,Yes,No,3608,5.76,8,128,24,244,2.55,4.3,2
2018,Samsung,Flagship,Android,4G,Yes$,No,4300,6.2,8,256,64,260,2.76,4.32,3
2020,OnePlus,Flagship,Android,4G,Yes,No,3944,6.14,8,256,64,217,3.42,4.67,3
2022,Sony,Budget , Android,4G,No, NO,2978,5.69,8,128,32,238,2.02,4.01,2
2015,GOOGLE, midrange,Android,4G,Yes,No,2856,5.01,4,128,16,222,1.81,2.25,0
2015,OnePlus,Budget, android,3G,Yes ,No *,2519,5.3,2,32,12,227,1.5,2.35,0
2017,xiaomi,Budget,Android,4G,Yes,No,2270,4.61,4,128,24,212,1.94,3.11,0
2016,Samsung,BUDGET,Android,3G,No,No,2702,4.85,3,32,24,225,1.54,2.68,0
2021,Google,Budget,Android,4G,Yes,No,3124,5.31,6,128,32,194,2.56,3.42,1
2023,Apple, Budget,iOS,4G,NA,No,3342,5.81,8,64,32,231,2.03,4.48,1
2018,Xiaomi, Budget,Android,4g , YES!,No,3169,5.55,4,32,24,242,2.44,2.97,0
2021,Motorola!,Midrnge,Android,5G#,Yes,Yes,4058,5.88,6,256,64,238,2.41,4.91,3
2021,Nokia,Midrange,Android,5G,Yes,Yes,3774,6.17,8,128,48,260,2.44,4.45,3
2021,Oppo,Budget,Android,5G,YES,Yes,3253,5.85,6,128,48,245,1.98,3.59,1
2019, apple ,Midrange,iOS, 4G ,NA,No,2662,5.79,6,128,64,233,2.02,4.33,3
2019,Google, budget ,android,4g,yes #,No,3273,5.77,4,128,32,236,1.77,3.28,1
2022,Apple,Budget,iOS,4G,No,No,3338,5.9,6,64,64,224,2.27,4.35,1
2023,Samsung,Midrange,ANDROID,4G,Yes,No,4100,6.28,12,256,48,260,2.58,5.28,3
2020,Apple,Midrange,iOS ,5G,No,Yes,3398,6.18,8,128,48,260,2.71,4.45,2
2023,Huawei,Midrange,Android,5g,Yes, Yes,4072,6.77,8,256,64,260,2.49,5.22,3
2023,XIAOMI,Budget,Android,4G ,Yes,No,3998,6.18,6,64,8,240,2.3,4.4,1
2018,Vivo,Budget,Android,4G,Yes,NO,2824,5.91,2,128,32,227,1.63,1.65,0
2022,OnePlus,Budget, Android,4G ,Yes,No,2986,6.54,4,128,32,229,2.48,3.69,NA
2019,Samsung,Midrange,Android, 4G,No,No,3387,5.89,8,256,32,246,2.14,4.24,2
2018, HUAWEI ,Midrange,HarmonyOS,4G,YES ,No,3233,5.38,4,128,32,251,2.44,3.94,1
2021,Samsung,midrange,Android,4G, YES,No,3205,5.98,8,256,64,248,2.22,5.04,3
2023,Sony,Budget,Android,4G,Yes,No,3806,6.22,6,64,48,254,2.45,5.16,2
2023,Xiaomi,Flagship,Adroid,5G,Yes,Yes,4080,NA,8,256,64,260,3.22,6.4,3
2022,Motorola,Budget,Android, 4G, yes,No,3125,5.94,4,128,32,237,2.17,3.22,1
2015,Samsung *,Midrange,NA,3G ,Yes,No,3026,4.99,6,128,32,249,1.86,3.74,1
2017,Apple,Budget,ios ,4G,No,No,2310,5.23,2,64,16,228,1.82,2.17,0
2019, google,Midrange,Android,4G, YES ,No,3289,5.7,6,128,48,249,2.51,4.03,2
2020,Xiaomi, Budget,Android,4G,No,No,3506,5.73,4,128,48,239,2.17,3.81,1
2023,Oppo,Flagship,Android,5G,Yes,Yes,4720,6.39,12,256,64,223,3.01,6.1,3
2024,Vivo,Budget,android#,4G,Yes, No*,3905,6.27,6,128,48,260,2.15,3.52,2
2018,Xiaomi, budget #,Android,4G,Yes,No,2709,5.27,2,64,12,219,2.04,3.37,0
2019,Huawei,Budget,Android,4G,No,No,2733,5.28,4,128,24,218,1.99,2.98,0
2020,Vivo,Budget,Android, 4g,Yes,No,2915,5.84,4,128,48,235,1.82,3.14,1
2023,VIVO,Midrange,ANDROID ,4G,No,No,3411,5.85,8,256,NA,245,2.66,6.09,3
2016,OnePlus,Flagship ,Anroid,4G,Yes,No,3221,5.71,6,128,48,260,2.15,4.49,2
2017,Oppo,budgt,Android,4g, yes,No,2916,5.05,4,64,24,227,1.86,2.23,0
2018,Samsung,Midrange,Android,4G,NO ,no ,3352,5.63,4,128,32,233,2.26,2.65,1
2024,Samsung,Midrange, Android,5G,Yes,Yes,3757,6.6,8,256,64,244,2.75,5.68,3
2018,HUWEI,BUDGET,HarmonyOS,4g,No,No,2436,5.22,3,64,12,249,1.92,2.44,0
2019,Xiaomi, Flagship ,ANDROID,4G,No,No,3946,5.69,12,256,48,250,2.79,6.78,3
2019,OnePlus ,midrange*,Android,4G,Yes,No,2899,5.95,8,256,32,239,2.31,3.88,3
2024,Samsung,Midrange,Android,4G,Yes,No,3738,6.46,8,256,64,260,2.77,6.48,3
2015,Samsung,Midrange ,ANDROID#,4G,Yes,No*,2401,5.14,4,128,24,224,1.99,3.35,0
2019,SAMSUNG , Budget,Android,4G,Yes,No,2798,5.91,4,128,16,206,2.04,4.31,1
2015,Oppo,Flagship,android,4G,YES,No,3118,5.59,6,256,32,239,2.71,3.53,3
2023,Google,Midrange, Android,5G,Yes,Yes,3447,6.68,8,256,32,248,2.59,5.09,2
2015,vivo,Budget ,android*,4G, yes ,No,2701,4.54,3,128,8,234,1.69,3.21,0
2018,Xiaomi,Flagship,Android,4G,Yes,No,3430,5.3,6,256,64,257,2.53,4.73,3
2017,SONY,Midrange,Android,4G ,Yes,No,2226,5.84,6,256,24,230,2.3,3.56,2
2018,Samsung,Budget,Android,4G,no,no,2823,5.26,3,128,24,235,1.73,1.96,0
2021,Apple,Budget,iOS,4G,no,No,3655,5.57,6,128,24,214,2.46,4.03,1
2016, oneplus ,Budget,android,3G,No,No,2202,5.04,3,32,12,211,NA,2.09,0
2023,APPLE *,Midrange,iOS,5G,No,YES!,3698,6.35,8,256,64,245,2.63,4.84,2
2017,Apple,Midrange,iOS,3G,No,No,3256,5.69,6,128,48,230,2.25,3.91,2
2022,google,Midrange,Android,4G,No, NO,3708,5.45,12,256,32,207,2.28,4.4,3
2017,samsung,midrange,Android, 3G,No,No,3400,5.63,4,NA,48,239,2.24,3.42,1
2016,Aple ,Flagship,iOS, 4g,No,No,3906,5.36,6,256,48,257,2.89,4.6,2
2021,Vivo,Budget,Android,4G, Yes, No,3053,6.05,4,64,48,247,2.26,2.97,1
2024, nokia*,Flagship,ANDROID,5G,yes,Yes,4855,7.2,12,256,NA,260,2.95,7.26,3
2021,Oppo,Flagship,ANDROID ,4G,Yes,No,3571,6.29,12,512,64,246,2.9,5.33,3
2017, samsung,Budget,android,4G, YES*,No,2833,4.76,3,64,24,243,1.91,2.53,0
2024,OnPlus,Flagship,Android,5G,Yes,Yes,4074,7.02,12,512,64,240,2.86,7.02,3
2021,Samsung,Budget,Android ,4G,Yes,No ,2959,5.5,4,32,48,260,2.11,3.41,0
2021,Apple,Midrange,iOS,4G,No,No,3703,6.27,6,128,48,NA,2.69,4.67,2
2020,Huawei,Budget,HarmonyOS, 4G*,Yes,No,3478,5.51,2,64,24,221,2.31,3.66,0
2024, samsung, BUDGET,Android,5G,Yes,Yes,3603,6.39,8,128,64,260,2.51,4.46,1
2017,Appe ,Midrange,iOS,3G ,No,No,3268,5.31,4,NA,24,219,1.82,4.03,1
2017, vivo,Budget,Android,4G,Yes,No,2466,5.56,3,64,12,244,2.11,3.34,0
2016,Vivo,MIDRANGE,Android, 3g *, Yes ,No,3041,5.51,4,64,12,256,2.01,2.57,0
2017, apple ,BUDGET, IOS,4G,No,No,3101,5.15,2,64,32,NA,1.6,2.47,1
2016,VIVO,Budget,Android,3G,Yes,No,1945,5.78,3,64,12,245,1.47,1.0,0
2016,Vivo,Midrange,Android,4G,Yes,No,3340,5.04,4,64,24,237,2.18,3.16,0
2016,Xiaomi,Midrange,android !,4G,NA,no ,2852,5.36,4,128,32,260,1.84,3.93,1
2022,Oppo,Budget,Android,4G,Yes,No,3593,5.99,4,32,48,260,2.05,3.27,0
2017,Vivo,Midrange,Android,3G,Yes,No,3345,5.02,6,32,32,260,1.95,3.39,0
2019,Apple,Flagship,iOS,4G,No, No,4429,6.43,8,256,48,256,2.74,4.86,NA
2022,Huawei,Budget,HarmonyOS,4G,Yes,No,3448,6.02,6,128,48,258,2.4,3.76,1
2015,OnePlus,Midrange,ANDROID, 4G,Yes,No,2935,5.26,4,32,32,249,2.11,2.9,0
2016,Xiaomi,Budget,ANDROID, 3G ,Yes,No,2294,4.53,3,128,16,224,1.44,1.56,0
2019,Oppo,Midrange,Android,4G,Yes,No ,4446,6.03,6,128,48,234,2.56,3.82,1
2024,Xiaomi,Midrange,android*,4G, Yes ,No,3350,6.36,8,128,48,260,2.72,5.0,3
2016, Sony,Budget,Android,4G,Yes,No,2648,4.9,3,64,12,225,1.26,1.84,0
2015,Samsung,Flagship,Android,4G,No,No,2724,5.29,4,128,48,220,2.34,3.6,1
2018,Motorola,Midrange,Android,4G ,No, No,3734,5.56,6,128,24,260,2.12,3.78,2
2022,Samsung!,Midrange, android,4G,Yes,No,3599,NA,12,256,NA,260,2.58,5.35,3
2016,Motorola,Budget,Android,4G,Yes,No,2802,4.56,3,32,8,212,1.48,1.53,0
2017,xiami ,Midrange, android,3G, Yes,No,2649,4.98,4,256,32,241,2.55,3.5,2
2023,Sony,FLAGSHIP #,Android,5G,Yes,yes $,4693,6.78,12,256,64,260,2.24,6.23,3
2023,Huawei,Flagship,Android,5G,yes,Yes,3771,6.7,12,256,64,253,2.75,5.71,3
2018,Oppo,Budget,Android,4G, No ,No,2830,5.1,6,64,32,208,2.2,2.52,1
2019,Apple,Midrange,iOS,4G,No,No,3069,6.01,8,128,32,253,2.6,4.39,3
2017,OnePlus,Flagship,Android,4G,No,No,4093,5.43,8,256,48,260,2.34,3.49,3
2020, nokia,Flagship,Android,4G,Yes,No,3400,6.55,8,NA,48,256,2.23,6.68,3
2022,Vivo, midrange ,Android,5G,Yes,Yes,3377,6.02,8,256,48,238,2.23,5.59,3
2024,SAMSUNG*, Midrange,Android,4G,Yes, No ,4160,6.81,12,256,48,260,2.74,5.96,3
2019,Xiaomi,Flagship, Android ,4G,Yes,no ,3469,6.03,8,256,64,260,2.62,5.34,3
2024,Xiaomi,Budget,Android,4G,No,No,3330,6.1,8,256,48,254,2.78,4.59,3
2023, Apple ,Midrange,iOS,4G ,No,No,3197,6.58,8,256,64,253,2.75,6.43,3
2021,HUAWEI,Budget $,HarmonyOS,4G,Yes,No,3315,5.62,6,32,32,231,1.92,4.61,1
2022, Apple ,Midrange,iOS,4G,No,No,3431,6.52,6,256,48,242,2.65,5.48,3
2023, APPLE*, Midrange ,iOS, 5G,No,Yes,4228,5.95,8,256,48,239,2.2,5.72,3
2020,XIAOMI,Budget, Andrid, 4G,Yes,No,3008,5.56,6,32,32,239,2.27,3.76,1
2019, SAMSUNG,Midrange,Android,4G,Yes,No,3721,5.53,4,256,32,228,2.3,4.74,2
2015,Apple,budget,iOS,3G,No,No,2466,5.23,3,64,24,258,2.01,2.5,0
2019,Samsung,Budget,Android ,4G,Yes,no,2788,6.35,3,128,48,228,2.21,2.74,0
2015,Oppo,Midrange,Android,4G,Yes ,NO,3164,5.35,4,128,32,233,2.33,2.97,1
2017,APPLE ,Budget,iOS,4g,No,NO ,2118,5.03,4,32,16,242,1.74,1.95,0
2015,SAMSUNG ,MIDRANGE,android*,4G,yes ,No,3127,5.65,2,64,32,257,2.14,2.93,0
2021,Nokia,Midrange,Android,4G #,NO,No,4020,6.42,8,256,48,260,2.05,5.84,2
2017,Samsung,Budget,Android,3G,No,No,2443,5.32,6,128,16,239,2.13,2.89,1
2019,Apple,Budget,iOS,4g ,No,No,2971,5.77,3,64,32,242,2.04,3.9,0
2024,Apple,MIDRANGE,NA,5G,no , Yes,3907,6.47,8,256,64,242,2.45,5.77,3
2022,xiomi,Budget,Android,5G, yes,Yes,3230,5.7,4,128,32,220,2.16,4.54,1
2019,samsung ,Flagship,ANDROID,4G, Yes ,No,3641,6.13,8,256,64,236,2.78,4.17,3
NA, Apple ,budget, ios ,4G,No,NO,3267,4.77,2,128,16,216,1.34,2.58,0
2018,Oppo, Mdrange,Android,4G,yes ,No,3033,5.97,6,256,32,247,2.56,4.76,3
2017,Xiaomi, Budget,Android,3G,Yes,No,2871,4.66,2,32,16,219,1.38,3.01,0
2024,OnePlus,Midrange,Android,5G, NO,Yes,3806,6.39,8,256,64,257,2.38,5.07,3
2017,Apple, Budget,iOS,3G,No,No,2937,5.42,3,32,8,248,1.68,3.0,0
2019,Samsung,Flagship,Android, 4G,No,No,3642,5.81,8,256,48,260,2.85,5.82,3
2023,SASUNG,Flagship,Android,5G,No,yes,4576,6.89,12,256,64,260,3.18,5.93,3
2023,OnePlus, Midrane #,android,5G,Yes, Yes,3593,5.99,8,256,64,244,2.71,5.16,3
2022,Sony,Midrange,Android,5G,YES,YES,3440,6.09,6,256,24,244,2.66,5.09,2
2021, Xiaomi,Budget,Android, 4G,Yes,No,2756,5.47,6,64,32,243,2.84,3.54,2
2017,Xiaomi,Flagship,Android,4G,Yes,No,NA,5.85,6,128,48,251,2.87,5.17,2
2015,SMSUNG ,Budget, ANDROID,4G,Yes, NO,3234,4.89,2,64,32,223,1.83,1.5,0
2017,Google,budget,Android,4G,no,NO,2994,6.12,3,128,24,240,1.82,2.51,0
2023,Xiaomi,budget,ANDROID , 5G,Yes,Yes,3124,6.12,8,256,24,233,1.91,4.47,2
2021,oppo ,Budget,Android,4G,No,No,3494,6.16,6,32,48,260,2.11,3.41,1
NA,Oppo,Flagship,Android,4G, yes*,No,3419,6.69,8,256,48,241,2.79,6.01,2
2019,Oppo, Budget $,Android,4G,No,No,3144,5.0,6,32,24,NA,2.04,3.03,0
2020,NA, budgt ,Android,4G,YES ,No ,3678,5.75,4,128,16,239,1.98,3.85,2
2016,Apple,Flagship,iOS,3G,No,No,3309,5.3,6,256,32,223,2.71,3.98,2
2020,Google, Midrange*,Android,4G,No,No,3339,6.12,6,128,48,223,1.72,5.0,1
2019,OnePlus,Budget,Android,4G,Yes,NA,3344,5.25,4,32,24,237,1.76,3.75,0
2018,Nokia,Budget, android,4G,Yes,No,3061,5.1,3,64,8,231,2.03,2.3,1
2023,Oppo, Midrange,Android,4G,Yes,No,3475,6.54,6,256,48,260,2.74,6.24,2
2018, Nokia,Midrange,Android,4G,Yes ,No,3803,5.6,8,256,32,233,2.19,3.21,2
2022,ONEPLUS, MIDRANGE,Android,4G,No ,No,3915,6.38,8,128,48,258,2.34,4.58,2
2020,Oppo,Budget,Android,4G,Yes,No,2954,6.1,6,128,24,255,1.94,3.59,0
2018, Google,Flagship ,Android,4G,Yes,No,3722,6.42,8,128,48,239,2.68,NA,2
2024,Google,Budget,Android,4G,yes#,No,3041,6.03,8,128,32,253,2.59,5.38,3
2018,Apple,Budget,iOS,4G,No,No,3306,5.66,4,64,24,218,2.07,2.33,1
2024,Huawei,Budget,Android,4G, yes , No,3007,6.0,8,64,32,254,2.29,5.08,1
2019,Xiaomi,Midrange,Android,4G,No,no,3685,5.39,6,128,8,246,2.35,4.05,1
2021,Nokia,Midrange,Android,5G,Yes,Yes,3115,5.8,8,128,48,234,2.29,4.89,2
2024,Nokia,Midrange,ANDROID ,4G, yes #,NO,3490,6.67,12,256,64,258,2.73,5.06,3
2022,Samsung,Midrange,Android,4G,Yes,No,4077,6.12,8,256,48,257,2.89,4.9,3
2023,Oppo,Budget, Android,4G,no,No,3669,5.93,8,128,32,257,2.6,4.23,2
2017,Sony,Midrange,Android,3G,Yes $,No,2979,4.89,2,128,24,252,1.76,4.86,0
2016,Huawei,BUDGET ,Android,3G,Yes,No,2662,4.95,3,32,8,205,1.61,2.31,0
2022,Vivo,Budget,Android,4G ,Yes,no,2414,6.03,6,128,12,215,2.47,3.7,1
2018,Huawei,Budget,Android,4G,Yes,No,2813,5.11,2,32,16,206,2.46,3.75,0
2017,Apple, Buget ,iOS, 4G , NO,no,2971,4.85,4,64,16,212,2.3,2.01,0
2020,Google,Flagship,Android,4G,Yes,No,3715,6.21,8,256,48,260,2.84,5.33,3
2020,Xiaomi,Budget,Android,4G, yes,No $,2940,5.98,4,128,32,232,1.67,2.98,0
2019,Xiaomi,Budget,adroid *,4G,Yes,No,2512,5.42,6,32,48,223,2.18,3.56,1
