,Year,Brand,Model_Tier,Network_Type,Dual_Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,Storage_GB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,Price_Class
264,2019,Sony,Budget,4g,yes,no,2822.0,5.04,6.0,64.0,24.0,214.0,2.0,3.16,2
265,2016,Vivo,Budget,3g,yes,no,2751.0,4.85,2.0,32.0,12.0,237.0,1.74,2.51,0
266,2022,Samsung,Midrange,5g,no,yes,3363.0,6.0,12.0,256.0,64.0,230.0,2.52,4.67,3
267,2021,Apple,Flagship,4g,no,no,3452.0,6.22,12.0,256.0,48.0,252.0,2.42,5.52,3
269,2021,Oneplus,Midrange,4g,yes,no,3490.0,5.79,6.0,128.0,48.0,247.0,2.26,4.94,2
270,2015,Apple,Budget,3g,no,no,1922.0,4.63,2.0,32.0,8.0,231.0,1.52,2.04,0
271,2016,Samsung,Flagship,3g,yes,no,3138.0,5.93,6.0,128.0,48.0,246.0,2.28,4.08,2
272,2016,Samsung,Midrange,4g,yes,no,3040.0,5.46,4.0,64.0,48.0,253.0,2.0,2.25,1
273,2016,Vivo,Budget,4g,no,no,2816.0,4.89,3.0,64.0,24.0,210.0,1.93,1.93,0
274,2017,Oneplus,Midrange,3g,no,no,3067.0,5.54,8.0,128.0,24.0,242.0,2.79,3.35,1
275,2021,Sony,Midrange,4g,no,no,4009.0,6.13,6.0,256.0,48.0,251.0,2.43,5.24,2
276,2018,Oneplus,Midrange,4g,yes,no,3187.0,5.88,8.0,64.0,32.0,250.0,2.36,3.78,1
277,2023,Huawei,Budget,4g,no,no,3332.84,5.37,6.0,64.0,48.0,248.0,2.64,4.94,1
278,2019,Apple,Flagship,4g,no,no,3706.0,6.56,8.0,256.0,48.0,248.0,2.7,5.97,2
279,2020,Oneplus,Budget,4g,no,no,2780.0,5.25,6.0,64.0,48.0,235.0,2.26,3.0,2
280,2022,Oppo,Flagship,5g,yes,yes,3861.0,6.53,8.0,256.0,64.0,236.0,2.38,6.18,3
281,2018,Samsung,Budget,4g,no,no,2261.0,5.53,4.0,32.0,32.0,241.78,1.89,3.15,0
282,2016,Vivo,Budget,4g,yes,no,2119.0,4.82,3.0,128.0,24.0,227.0,1.86,2.58,0
284,2021,Apple,Midrange,4g,no,no,3961.0,5.51,12.0,128.0,32.0,244.0,2.12,4.73,2
285,2021,Motorola,Flagship,5g,yes,yes,3788.0,6.35,12.0,256.0,64.0,260.0,2.83,6.03,3
286,2018,Apple,Budget,4g,no,no,2926.0,5.06,4.0,32.0,32.0,229.0,1.59,3.28,0
287,2018,Xiaomi,Midrange,4g,yes,no,3359.0,5.42,6.0,128.0,16.0,235.0,2.1,4.02,0
288,2016,Oppo,Budget,3g,no,no,2650.0,5.09,3.0,128.0,16.0,235.0,1.55,2.38,0
289,2018,Oneplus,Budget,4g,yes,no,2713.0,5.54,3.0,64.0,24.0,228.0,1.43,2.57,0
290,2020,Nokia,Midrange,4g,yes,no,3356.0,6.47,8.0,128.0,32.0,260.0,1.97,4.38,2
291,2019,Huawei,Budget,4g,no,no,3081.0,5.5,4.0,128.0,32.0,246.0,2.56,3.29,1
292,2023,Oneplus,Budget,4g,yes,no,3487.0,5.88,6.0,128.0,48.0,232.0,2.34,4.18,1
293,2021,Nokia,Budget,4g,yes,no,3856.0,6.18,6.0,128.0,24.0,260.0,2.15,3.78,1
294,2018,Oppo,Midrange,4g,yes,no,2025.0,5.35,6.0,256.0,16.0,244.0,2.42,3.08,1
295,2018,Samsung,Budget,4g,yes,no,2406.0,5.6,4.0,64.0,24.0,238.0,1.59,2.92,0
296,2024,Samsung,Midrange,4g,yes,no,4032.0,6.26,12.0,256.0,48.0,253.0,2.8,6.75,3
297,2015,Nokia,Flagship,4g,yes,no,3393.0,5.45,8.0,128.0,48.0,260.0,2.49,3.86,3
298,2015,Google,Flagship,4g,yes,no,3213.0,5.33,4.0,128.0,16.0,227.0,2.42,3.78,2
299,2021,Google,Midrange,4g,yes,no,3151.0,6.35,8.0,128.0,64.0,253.0,2.93,5.57,2
300,2019,Samsung,Budget,4g,yes,no,3490.0,5.26,6.0,128.0,32.0,226.0,2.13,3.29,1
301,2022,Samsung,Midrange,4g,yes,no,3781.0,6.33,8.0,256.0,48.0,260.0,2.46,4.76,2
302,2015,Samsung,Budget,3g,yes,no,2465.0,4.71,2.0,32.0,8.0,220.0,1.53,2.06,0
303,2015,Huawei,Flagship,4g,yes,no,3012.0,5.43,8.0,256.0,32.0,217.0,1.61,3.59,2
304,2016,Vivo,Midrange,4g,yes,no,2989.0,5.53,6.0,128.0,48.0,250.0,2.45,2.93,1
305,2020,Xiaomi,Budget,4g,yes,no,3219.0,5.39,6.0,64.0,24.0,234.0,2.29,3.15,1
306,2020,Oppo,Midrange,4g,yes,no,3228.0,5.81,8.0,128.0,24.0,260.0,2.21,5.43,2
307,2018,Google,Midrange,4g,yes,no,3516.0,6.16,6.0,256.0,48.0,260.0,2.17,3.85,1
308,2015,Oneplus,Midrange,4g,yes,no,3332.84,5.16,6.0,128.0,24.0,221.0,1.98,3.08,2
309,2017,Apple,Midrange,3g,no,no,3113.0,5.32,4.0,128.0,48.0,237.0,1.78,4.08,2
310,2021,Xiaomi,Flagship,4g,yes,no,4091.0,6.18,8.0,256.0,48.0,255.0,3.13,5.83,3
311,2020,Oppo,Budget,4g,no,no,3318.0,5.69,6.0,128.0,32.0,224.0,1.88,3.66,2
312,2016,Oneplus,Flagship,4g,no,no,3828.0,5.73,6.0,256.0,32.0,237.0,2.12,4.08,3
313,2016,Samsung,Midrange,4g,yes,no,3066.0,4.82,4.0,128.0,16.0,239.0,1.98,2.94,0
314,2021,Huawei,Budget,4g,no,no,3077.0,5.76,6.0,128.0,24.0,251.0,2.02,4.14,2
315,2019,Apple,Midrange,4g,no,no,3960.0,5.83,4.0,128.0,64.0,244.0,2.2,4.41,2
316,2017,Apple,Budget,3g,no,no,2949.0,5.25,3.0,128.0,8.0,236.0,1.61,3.0,0
317,2016,Oppo,Flagship,4g,yes,no,2920.0,5.5,6.0,256.0,32.0,258.0,2.8,3.75,2
318,2024,Huawei,Midrange,4g,yes,no,3958.0,6.19,12.0,256.0,48.0,260.0,2.83,5.46,3
319,2015,Xiaomi,Budget,3g,no,no,2914.0,4.73,2.0,128.0,32.0,197.0,1.45,2.35,0
320,2019,Xiaomi,Midrange,4g,no,no,3025.0,4.85,8.0,128.0,48.0,260.0,1.69,4.08,1
321,2021,Vivo,Budget,4g,yes,no,2880.0,5.1,6.0,128.0,32.0,239.0,2.58,4.51,1
322,2021,Google,Budget,5g,no,yes,2850.0,5.52,6.0,128.0,48.0,243.0,2.33,4.18,2
323,2015,Samsung,Flagship,4g,no,no,2838.0,5.86,6.0,256.0,16.0,260.0,2.7,3.59,1
324,2023,Apple,Midrange,4g,no,no,3996.0,6.61,8.0,128.0,64.0,252.0,2.41,5.7,2
325,2018,Vivo,Midrange,4g,no,no,3849.0,5.46,8.0,128.0,32.0,249.0,2.5,4.1,1
326,2023,Apple,Flagship,5g,no,yes,3831.0,6.8,12.0,256.0,64.0,260.0,2.42,6.14,3
327,2020,Samsung,Midrange,4g,no,no,3270.0,5.8,6.0,128.0,24.0,260.0,2.6,5.0,1
328,2015,Xiaomi,Budget,4g,yes,no,1924.0,5.16,3.0,32.0,12.0,234.0,1.2,1.72,0
331,2020,Samsung,Flagship,4g,yes,no,3721.0,6.21,8.0,256.0,48.0,260.0,2.77,5.75,3
332,2020,Xiaomi,Midrange,4g,yes,no,2626.0,5.67,8.0,256.0,32.0,224.0,2.44,4.49,2
333,2023,Vivo,Midrange,5g,yes,yes,3932.0,5.96,12.0,256.0,32.0,220.0,2.41,3.91,3
334,2024,Oppo,Flagship,5g,no,yes,4031.0,6.86,12.0,256.0,64.0,254.0,2.82,7.53,3
335,2020,Oneplus,Budget,5g,yes,yes,2483.0,5.34,6.0,64.0,8.0,237.0,1.83,4.07,1
336,2020,Motorola,Flagship,4g,yes,no,3618.0,6.37,8.0,256.0,64.0,260.0,3.15,5.62,3
337,2017,Nokia,Budget,4g,yes,no,3481.0,4.82,4.0,64.0,32.0,241.78,1.43,3.05,1
338,2016,Oneplus,Budget,4g,yes,no,2882.0,4.91,2.0,32.0,8.0,233.0,1.78,1.82,0
339,2024,Xiaomi,Budget,4g,yes,no,3724.0,6.28,8.0,128.0,48.0,249.0,2.59,4.34,2
340,2018,Apple,Midrange,4g,no,no,3648.0,5.63,8.0,128.0,12.0,228.0,1.82,4.34,1
341,2015,Apple,Midrange,4g,no,no,2870.0,5.0,3.0,128.0,12.0,244.0,1.6,2.56,1
342,2022,Oneplus,Budget,4g,yes,no,3101.0,5.56,8.0,256.0,48.0,240.0,1.98,3.69,2
343,2024,Apple,Budget,4g,no,no,3885.0,5.92,6.0,128.0,48.0,241.0,2.55,4.56,3
344,2022,Oneplus,Budget,4g,yes,no,3338.0,5.81,6.0,64.0,32.0,227.0,2.39,3.62,2
345,2016,Oneplus,Flagship,3g,yes,no,3615.0,5.68,6.0,128.0,32.0,260.0,2.26181146025878,3.59,2
347,2015,Samsung,Flagship,3g,yes,no,3167.0,5.66,6.0,128.0,48.0,260.0,2.15,3.18,2
348,2023,Apple,Midrange,5g,no,yes,3859.0,6.58,12.0,256.0,32.0,241.0,2.82,5.98,3
349,2023,Xiaomi,Midrange,5g,no,yes,3536.0,6.55,8.0,128.0,48.0,241.0,2.47,5.46,3
350,2021,Apple,Budget,4g,no,no,3446.0,5.64,6.0,128.0,24.0,239.0,2.11,3.32,2
351,2019,Motorola,Budget,4g,no,no,3102.0,5.74,4.0,128.0,32.0,226.0,2.0,3.29,1
352,2016,Motorola,Midrange,4g,yes,no,3594.0,5.16,6.0,64.0,16.0,246.0,2.22,3.54,2
354,2019,Apple,Midrange,4g,no,no,3217.0,6.16,4.0,256.0,32.0,260.0,2.47,3.62,1
355,2018,Vivo,Budget,4g,yes,no,3421.0,4.78,4.0,64.0,16.0,215.0,1.62,3.56,0
357,2018,Samsung,Midrange,4g,yes,no,3628.0,5.61,6.0,64.0,64.0,248.0,1.93,4.99,1
358,2015,Xiaomi,Budget,4g,yes,no,2395.0,4.74,3.0,32.0,16.0,239.0,1.51,2.73,0
359,2017,Xiaomi,Flagship,4g,no,no,3502.0,5.78,8.0,256.0,64.0,256.0,2.37,5.15,2
360,2015,Nokia,Midrange,3g,yes,no,2255.0,4.79,4.0,128.0,12.0,232.0,2.05,4.08,0
361,2021,Apple,Budget,5g,no,yes,3656.0,6.18,4.0,128.0,48.0,255.0,2.43,3.65,1
362,2021,Samsung,Budget,4g,no,no,3807.0,5.59,6.0,32.0,32.0,228.0,1.54,3.66,1
363,2020,Apple,Budget,4g,no,no,2779.0,4.84,3.0,32.0,32.0,259.0,1.73,3.7,0
364,2018,Samsung,Budget,4g,no,no,3154.0,5.03,2.0,32.0,24.0,240.0,1.84,3.07,0
365,2018,Xiaomi,Budget,4g,yes,no,2641.0,5.29,4.0,64.0,12.0,241.0,1.72,2.92,0
366,2016,Google,Midrange,3g,yes,no,3037.0,5.4,6.0,64.0,8.0,242.0,2.09,3.26,1
367,2016,Motorola,Budget,4g,no,no,2486.0,4.97,4.0,32.0,16.0,200.0,1.82,2.91,0
368,2015,Huawei,Budget,3g,yes,no,2061.0,4.65,2.0,64.0,8.0,211.0,1.69,1.94,0
369,2016,Apple,Budget,4g,no,no,2614.0,5.18,2.0,128.0,12.0,232.0,1.3,2.7,0
370,2022,Sony,Budget,4g,no,no,3112.0,5.88,6.0,64.0,48.0,250.0,1.71,3.47,1
371,2016,Apple,Budget,3g,no,no,2411.0,4.69,2.0,64.0,16.0,260.0,1.69,2.35,0
373,2016,Samsung,Budget,3g,yes,no,2753.0,5.02,4.0,64.0,32.0,196.0,2.13,3.02,0
374,2021,Google,Midrange,4g,yes,no,3491.0,6.32,8.0,256.0,64.0,243.0,2.48,5.01,3
375,2019,Samsung,Flagship,4g,no,no,3777.0,6.28,8.0,256.0,32.0,260.0,2.89,5.7,3
376,2023,Sony,Midrange,4g,yes,no,4414.0,6.25,8.0,256.0,48.0,237.0,3.32,6.31,3
377,2020,Apple,Midrange,4g,no,no,3627.0,5.71,8.0,128.0,48.0,260.0,2.3,4.99,2
378,2017,Oneplus,Midrange,4g,no,no,2804.0,5.33,4.0,128.0,16.0,257.0,2.25,2.82,0
379,2018,Google,Midrange,4g,yes,no,3788.0,5.45,6.0,256.0,24.0,232.0,2.42,4.32,2
380,2020,Nokia,Midrange,4g,no,no,2998.0,6.27,8.0,256.0,32.0,241.0,2.1,4.53,3
381,2017,Xiaomi,Midrange,4g,yes,no,3193.0,6.05,6.0,256.0,48.0,254.0,1.91,3.03,1
382,2022,Samsung,Flagship,5g,no,yes,4606.0,6.41,12.0,256.0,64.0,234.0,3.1,5.85,3
383,2023,Samsung,Budget,4g,yes,no,3361.0,6.36,6.0,256.0,48.0,255.0,2.15,4.33,2
384,2019,Vivo,Flagship,4g,yes,no,3318.0,6.07,8.0,256.0,48.0,221.0,2.89,4.87,2
385,2018,Oneplus,Midrange,4g,yes,no,3608.0,5.76,8.0,128.0,24.0,244.0,2.55,4.3,2
386,2018,Samsung,Flagship,4g,yes,no,4300.0,6.2,8.0,256.0,64.0,260.0,2.76,4.32,3
387,2020,Oneplus,Flagship,4g,yes,no,3944.0,6.14,8.0,256.0,64.0,217.0,3.42,4.67,3
388,2022,Sony,Budget,4g,no,no,2978.0,5.69,8.0,128.0,32.0,238.0,2.02,4.01,2
389,2015,Google,Midrange,4g,yes,no,2856.0,5.01,4.0,128.0,16.0,222.0,1.81,2.25,0
390,2015,Oneplus,Budget,3g,yes,no,2519.0,5.3,2.0,32.0,12.0,227.0,1.5,2.35,0
391,2017,Xiaomi,Budget,4g,yes,no,2270.0,4.61,4.0,128.0,24.0,212.0,1.94,3.11,0
392,2016,Samsung,Budget,3g,no,no,2702.0,4.85,3.0,32.0,24.0,225.0,1.54,2.68,0
393,2021,Google,Budget,4g,yes,no,3124.0,5.31,6.0,128.0,32.0,194.0,2.56,3.42,1
395,2018,Xiaomi,Budget,4g,yes,no,3169.0,5.55,4.0,32.0,24.0,242.0,2.44,2.97,0
396,2021,Motorola,Midrange,5g,yes,yes,4058.0,5.88,6.0,256.0,64.0,238.0,2.41,4.91,3
397,2021,Nokia,Midrange,5g,yes,yes,3774.0,6.17,8.0,128.0,48.0,260.0,2.44,4.45,3
398,2021,Oppo,Budget,5g,yes,yes,3253.0,5.85,6.0,128.0,48.0,245.0,1.98,3.59,1
400,2019,Google,Budget,4g,yes,no,3273.0,5.77,4.0,128.0,32.0,236.0,1.77,3.28,1
401,2022,Apple,Budget,4g,no,no,3338.0,5.9,6.0,64.0,64.0,224.0,2.27,4.35,1
402,2023,Samsung,Midrange,4g,yes,no,4100.0,6.28,12.0,256.0,48.0,260.0,2.58,5.28,3
403,2020,Apple,Midrange,5g,no,yes,3398.0,6.18,8.0,128.0,48.0,260.0,2.71,4.45,2
404,2023,Huawei,Midrange,5g,yes,yes,4072.0,6.77,8.0,256.0,64.0,260.0,2.49,5.22,3
405,2023,Xiaomi,Budget,4g,yes,no,3998.0,6.18,6.0,64.0,8.0,240.0,2.3,4.4,1
406,2018,Vivo,Budget,4g,yes,no,2824.0,5.91,2.0,128.0,32.0,227.0,1.63,1.65,0
407,2022,Oneplus,Budget,4g,yes,no,2986.0,6.54,4.0,128.0,32.0,229.0,2.48,3.69,2
408,2019,Samsung,Midrange,4g,no,no,3387.0,5.89,8.0,256.0,32.0,246.0,2.14,4.24,2
409,2018,Huawei,Midrange,4g,yes,no,3233.0,5.38,4.0,128.0,32.0,251.0,2.44,3.94,1
410,2021,Samsung,Midrange,4g,yes,no,3205.0,5.98,8.0,256.0,64.0,248.0,2.22,5.04,3
411,2023,Sony,Budget,4g,yes,no,3806.0,6.22,6.0,64.0,48.0,254.0,2.45,5.16,2
412,2023,Xiaomi,Flagship,5g,yes,yes,4080.0,5.74,8.0,256.0,64.0,260.0,3.22,6.4,3
413,2022,Motorola,Budget,4g,yes,no,3125.0,5.94,4.0,128.0,32.0,237.0,2.17,3.22,1
414,2015,Samsung,Midrange,3g,yes,no,3026.0,4.99,6.0,128.0,32.0,249.0,1.86,3.74,1
415,2017,Apple,Budget,4g,no,no,2310.0,5.23,2.0,64.0,16.0,228.0,1.82,2.17,0
416,2019,Google,Midrange,4g,yes,no,3289.0,5.7,6.0,128.0,48.0,249.0,2.51,4.03,2
417,2020,Xiaomi,Budget,4g,no,no,3506.0,5.73,4.0,128.0,48.0,239.0,2.17,3.81,1
418,2023,Oppo,Flagship,5g,yes,yes,4720.0,6.39,12.0,256.0,64.0,223.0,3.01,6.1,3
419,2024,Vivo,Budget,4g,yes,no,3905.0,6.27,6.0,128.0,48.0,260.0,2.15,3.52,2
420,2018,Xiaomi,Budget,4g,yes,no,2709.0,5.27,2.0,64.0,12.0,219.0,2.04,3.37,0
421,2019,Huawei,Budget,4g,no,no,2733.0,5.28,4.0,128.0,24.0,218.0,1.99,2.98,0
422,2020,Vivo,Budget,4g,yes,no,2915.0,5.84,4.0,128.0,48.0,235.0,1.82,3.14,1
423,2023,Vivo,Midrange,4g,no,no,3411.0,5.85,8.0,256.0,32.0,245.0,2.66,6.09,3
424,2016,Oneplus,Flagship,4g,yes,no,3221.0,5.71,6.0,128.0,48.0,260.0,2.15,4.49,2
425,2017,Oppo,Budget,4g,yes,no,2916.0,5.05,4.0,64.0,24.0,227.0,1.86,2.23,0
426,2018,Samsung,Midrange,4g,no,no,3352.0,5.63,4.0,128.0,32.0,233.0,2.26,2.65,1
427,2024,Samsung,Midrange,5g,yes,yes,3757.0,6.6,8.0,256.0,64.0,244.0,2.75,5.68,3
428,2018,Huawei,Budget,4g,no,no,2436.0,5.22,3.0,64.0,12.0,249.0,1.92,2.44,0
429,2019,Xiaomi,Flagship,4g,no,no,3946.0,5.69,12.0,256.0,48.0,250.0,2.79,6.78,3
430,2019,Oneplus,Midrange,4g,yes,no,2899.0,5.95,8.0,256.0,32.0,239.0,2.31,3.88,3
431,2024,Samsung,Midrange,4g,yes,no,3738.0,6.46,8.0,256.0,64.0,260.0,2.77,6.48,3
432,2015,Samsung,Midrange,4g,yes,no,2401.0,5.14,4.0,128.0,24.0,224.0,1.99,3.35,0
433,2019,Samsung,Budget,4g,yes,no,2798.0,5.91,4.0,128.0,16.0,206.0,2.04,4.31,1
434,2015,Oppo,Flagship,4g,yes,no,3118.0,5.59,6.0,256.0,32.0,239.0,2.71,3.53,3
435,2023,Google,Midrange,5g,yes,yes,3447.0,6.68,8.0,256.0,32.0,248.0,2.59,5.09,2
436,2015,Vivo,Budget,4g,yes,no,2701.0,4.54,3.0,128.0,8.0,234.0,1.69,3.21,0
437,2018,Xiaomi,Flagship,4g,yes,no,3430.0,5.3,6.0,256.0,64.0,257.0,2.53,4.73,3
438,2017,Sony,Midrange,4g,yes,no,2226.0,5.84,6.0,256.0,24.0,230.0,2.3,3.56,2
439,2018,Samsung,Budget,4g,no,no,2823.0,5.26,3.0,128.0,24.0,235.0,1.73,1.96,0
440,2021,Apple,Budget,4g,no,no,3655.0,5.57,6.0,128.0,24.0,214.0,2.46,4.03,1
441,2016,Oneplus,Budget,3g,no,no,2202.0,5.04,3.0,32.0,12.0,211.0,2.26181146025878,2.09,0
442,2023,Apple,Midrange,5g,no,yes,3698.0,6.35,8.0,256.0,64.0,245.0,2.63,4.84,2
443,2017,Apple,Midrange,3g,no,no,3256.0,5.69,6.0,128.0,48.0,230.0,2.25,3.91,2
444,2022,Google,Midrange,4g,no,no,3708.0,5.45,12.0,256.0,32.0,207.0,2.28,4.4,3
445,2017,Samsung,Midrange,3g,no,no,3400.0,5.63,4.0,128.0,48.0,239.0,2.24,3.42,1
446,2016,Apple,Flagship,4g,no,no,3906.0,5.36,6.0,256.0,48.0,257.0,2.89,4.6,2
447,2021,Vivo,Budget,4g,yes,no,3053.0,6.05,4.0,64.0,48.0,247.0,2.26,2.97,1
448,2024,Nokia,Flagship,5g,yes,yes,4855.0,7.2,12.0,256.0,32.0,260.0,2.95,7.26,3
449,2021,Oppo,Flagship,4g,yes,no,3571.0,6.29,12.0,512.0,64.0,246.0,2.9,5.33,3
450,2017,Samsung,Budget,4g,yes,no,2833.0,4.76,3.0,64.0,24.0,243.0,1.91,2.53,0
451,2024,Oneplus,Flagship,5g,yes,yes,4074.0,7.02,12.0,512.0,64.0,240.0,2.86,7.02,3
452,2021,Samsung,Budget,4g,yes,no,2959.0,5.5,4.0,32.0,48.0,260.0,2.11,3.41,0
453,2021,Apple,Midrange,4g,no,no,3703.0,6.27,6.0,128.0,48.0,241.78,2.69,4.67,2
454,2020,Huawei,Budget,4g,yes,no,3478.0,5.51,2.0,64.0,24.0,221.0,2.31,3.66,0
455,2024,Samsung,Budget,5g,yes,yes,3603.0,6.39,8.0,128.0,64.0,260.0,2.51,4.46,1
456,2017,Apple,Midrange,3g,no,no,3268.0,5.31,4.0,128.0,24.0,219.0,1.82,4.03,1
457,2017,Vivo,Budget,4g,yes,no,2466.0,5.56,3.0,64.0,12.0,244.0,2.11,3.34,0
458,2016,Vivo,Midrange,3g,yes,no,3041.0,5.51,4.0,64.0,12.0,256.0,2.01,2.57,0
459,2017,Apple,Budget,4g,no,no,3101.0,5.15,2.0,64.0,32.0,241.78,1.6,2.47,1
460,2016,Vivo,Budget,3g,yes,no,1945.0,5.78,3.0,64.0,12.0,245.0,1.47,1.0,0
461,2016,Vivo,Midrange,4g,yes,no,3340.0,5.04,4.0,64.0,24.0,237.0,2.18,3.16,0
463,2022,Oppo,Budget,4g,yes,no,3593.0,5.99,4.0,32.0,48.0,260.0,2.05,3.27,0
464,2017,Vivo,Midrange,3g,yes,no,3345.0,5.02,6.0,32.0,32.0,260.0,1.95,3.39,0
465,2019,Apple,Flagship,4g,no,no,4429.0,6.43,8.0,256.0,48.0,256.0,2.74,4.86,2
466,2022,Huawei,Budget,4g,yes,no,3448.0,6.02,6.0,128.0,48.0,258.0,2.4,3.76,1
467,2015,Oneplus,Midrange,4g,yes,no,2935.0,5.26,4.0,32.0,32.0,249.0,2.11,2.9,0
468,2016,Xiaomi,Budget,3g,yes,no,2294.0,4.53,3.0,128.0,16.0,224.0,1.44,1.56,0
469,2019,Oppo,Midrange,4g,yes,no,4446.0,6.03,6.0,128.0,48.0,234.0,2.56,3.82,1
470,2024,Xiaomi,Midrange,4g,yes,no,3350.0,6.36,8.0,128.0,48.0,260.0,2.72,5.0,3
471,2016,Sony,Budget,4g,yes,no,2648.0,4.9,3.0,64.0,12.0,225.0,1.26,1.84,0
472,2015,Samsung,Flagship,4g,no,no,2724.0,5.29,4.0,128.0,48.0,220.0,2.34,3.6,1
473,2018,Motorola,Midrange,4g,no,no,3734.0,5.56,6.0,128.0,24.0,260.0,2.12,3.78,2
474,2022,Samsung,Midrange,4g,yes,no,3599.0,5.74,12.0,256.0,32.0,260.0,2.58,5.35,3
475,2016,Motorola,Budget,4g,yes,no,2802.0,4.56,3.0,32.0,8.0,212.0,1.48,1.53,0
476,2017,Xiaomi,Midrange,3g,yes,no,2649.0,4.98,4.0,256.0,32.0,241.0,2.55,3.5,2
477,2023,Sony,Flagship,5g,yes,yes,4693.0,6.78,12.0,256.0,64.0,260.0,2.24,6.23,3
478,2023,Huawei,Flagship,5g,yes,yes,3771.0,6.7,12.0,256.0,64.0,253.0,2.75,5.71,3
479,2018,Oppo,Budget,4g,no,no,2830.0,5.1,6.0,64.0,32.0,208.0,2.2,2.52,1
480,2019,Apple,Midrange,4g,no,no,3069.0,6.01,8.0,128.0,32.0,253.0,2.6,4.39,3
481,2017,Oneplus,Flagship,4g,no,no,4093.0,5.43,8.0,256.0,48.0,260.0,2.34,3.49,3
482,2020,Nokia,Flagship,4g,yes,no,3400.0,6.55,8.0,128.0,48.0,256.0,2.23,6.68,3
483,2022,Vivo,Midrange,5g,yes,yes,3377.0,6.02,8.0,256.0,48.0,238.0,2.23,5.59,3
484,2024,Samsung,Midrange,4g,yes,no,4160.0,6.81,12.0,256.0,48.0,260.0,2.74,5.96,3
485,2019,Xiaomi,Flagship,4g,yes,no,3469.0,6.03,8.0,256.0,64.0,260.0,2.62,5.34,3
486,2024,Xiaomi,Budget,4g,no,no,3330.0,6.1,8.0,256.0,48.0,254.0,2.78,4.59,3
487,2023,Apple,Midrange,4g,no,no,3197.0,6.58,8.0,256.0,64.0,253.0,2.75,6.43,3
488,2021,Huawei,Budget,4g,yes,no,3315.0,5.62,6.0,32.0,32.0,231.0,1.92,4.61,1
489,2022,Apple,Midrange,4g,no,no,3431.0,6.52,6.0,256.0,48.0,242.0,2.65,5.48,3
490,2023,Apple,Midrange,5g,no,yes,4228.0,5.95,8.0,256.0,48.0,239.0,2.2,5.72,3
491,2020,Xiaomi,Budget,4g,yes,no,3008.0,5.56,6.0,32.0,32.0,239.0,2.27,3.76,1
492,2019,Samsung,Midrange,4g,yes,no,3721.0,5.53,4.0,256.0,32.0,228.0,2.3,4.74,2
493,2015,Apple,Budget,3g,no,no,2466.0,5.23,3.0,64.0,24.0,258.0,2.01,2.5,0
494,2019,Samsung,Budget,4g,yes,no,2788.0,6.35,3.0,128.0,48.0,228.0,2.21,2.74,0
495,2015,Oppo,Midrange,4g,yes,no,3164.0,5.35,4.0,128.0,32.0,233.0,2.33,2.97,1
496,2017,Apple,Budget,4g,no,no,2118.0,5.03,4.0,32.0,16.0,242.0,1.74,1.95,0
497,2015,Samsung,Midrange,4g,yes,no,3127.0,5.65,2.0,64.0,32.0,257.0,2.14,2.93,0
498,2021,Nokia,Midrange,4g,no,no,4020.0,6.42,8.0,256.0,48.0,260.0,2.05,5.84,2
499,2017,Samsung,Budget,3g,no,no,2443.0,5.32,6.0,128.0,16.0,239.0,2.13,2.89,1
500,2019,Apple,Budget,4g,no,no,2971.0,5.77,3.0,64.0,32.0,242.0,2.04,3.9,0
501,2024,Apple,Midrange,5g,no,yes,3907.0,6.47,8.0,256.0,64.0,242.0,2.45,5.77,3
502,2022,Xiaomi,Budget,5g,yes,yes,3230.0,5.7,4.0,128.0,32.0,220.0,2.16,4.54,1
503,2019,Samsung,Flagship,4g,yes,no,3641.0,6.13,8.0,256.0,64.0,236.0,2.78,4.17,3
505,2018,Oppo,Midrange,4g,yes,no,3033.0,5.97,6.0,256.0,32.0,247.0,2.56,4.76,3
506,2017,Xiaomi,Budget,3g,yes,no,2871.0,4.66,2.0,32.0,16.0,219.0,1.38,3.01,0
507,2024,Oneplus,Midrange,5g,no,yes,3806.0,6.39,8.0,256.0,64.0,257.0,2.38,5.07,3
508,2017,Apple,Budget,3g,no,no,2937.0,5.42,3.0,32.0,8.0,248.0,1.68,3.0,0
509,2019,Samsung,Flagship,4g,no,no,3642.0,5.81,8.0,256.0,48.0,260.0,2.85,5.82,3
510,2023,Samsung,Flagship,5g,no,yes,4576.0,6.89,12.0,256.0,64.0,260.0,3.18,5.93,3
511,2023,Oneplus,Midrange,5g,yes,yes,3593.0,5.99,8.0,256.0,64.0,244.0,2.71,5.16,3
512,2022,Sony,Midrange,5g,yes,yes,3440.0,6.09,6.0,256.0,24.0,244.0,2.66,5.09,2
513,2021,Xiaomi,Budget,4g,yes,no,2756.0,5.47,6.0,64.0,32.0,243.0,2.84,3.54,2
514,2017,Xiaomi,Flagship,4g,yes,no,3332.84,5.85,6.0,128.0,48.0,251.0,2.87,5.17,2
515,2015,Samsung,Budget,4g,yes,no,3234.0,4.89,2.0,64.0,32.0,223.0,1.83,1.5,0
516,2017,Google,Budget,4g,no,no,2994.0,6.12,3.0,128.0,24.0,240.0,1.82,2.51,0
517,2023,Xiaomi,Budget,5g,yes,yes,3124.0,6.12,8.0,256.0,24.0,233.0,1.91,4.47,2
